Observatory: Charters Towers     
yyyy-MM-dd HH:mm:ss,  X (nT),    Y (nT),   Z (nT),     H (nT),  F (nT),  D (Degrees), I (Degrees) 
2019-08-06 00:00:00,  31408.1,   4026.9,   -37501.9,  31665.2,  49082.4,  7.306,    -49.823
2019-08-06 00:01:00,  31408.3,   4026.8,   -37501.9,  31665.4,  49082.5,  7.306,    -49.823
2019-08-06 00:02:00,  31408.8,   4026.8,   -37502.0,  31665.8,  49082.8,  7.306,    -49.823
2019-08-06 00:03:00,  31409.1,   4026.6,   -37502.0,  31666.2,  49083.1,  7.305,    -49.823
2019-08-06 00:04:00,  31409.4,   4026.7,   -37502.0,  31666.5,  49083.2,  7.305,    -49.822
2019-08-06 00:05:00,  31409.7,   4026.9,   -37502.0,  31666.8,  49083.4,  7.306,    -49.822
2019-08-06 00:06:00,  31409.5,   4027.0,   -37502.0,  31666.6,  49083.3,  7.306,    -49.822
2019-08-06 00:07:00,  31409.2,   4027.2,   -37502.0,  31666.3,  49083.2,  7.306,    -49.823
2019-08-06 00:08:00,  31408.6,   4027.0,   -37502.0,  31665.7,  49082.7,  7.306,    -49.823
2019-08-06 00:09:00,  31408.6,   4027.3,   -37501.9,  31665.8,  49082.7,  7.307,    -49.823
2019-08-06 00:10:00,  31408.4,   4027.0,   -37501.9,  31665.5,  49082.6,  7.306,    -49.823
2019-08-06 00:11:00,  31408.4,   4027.1,   -37501.9,  31665.6,  49082.6,  7.306,    -49.823
2019-08-06 00:12:00,  31408.6,   4027.0,   -37501.9,  31665.7,  49082.7,  7.306,    -49.823
2019-08-06 00:13:00,  31408.9,   4026.9,   -37501.9,  31666.0,  49082.9,  7.306,    -49.823
2019-08-06 00:14:00,  31409.6,   4026.0,   -37501.8,  31666.5,  49083.1,  7.304,    -49.822
2019-08-06 00:15:00,  31410.4,   4025.5,   -37501.6,  31667.3,  49083.5,  7.303,    -49.821
2019-08-06 00:16:00,  31409.1,   4027.1,   -37501.6,  31666.2,  49082.8,  7.306,    -49.822
2019-08-06 00:17:00,  31408.1,   4028.2,   -37501.7,  31665.4,  49082.3,  7.308,    -49.823
2019-08-06 00:18:00,  31407.9,   4027.3,   -37501.7,  31665.1,  49082.1,  7.307,    -49.823
2019-08-06 00:19:00,  31408.4,   4026.6,   -37501.6,  31665.4,  49082.2,  7.306,    -49.823
2019-08-06 00:20:00,  31408.5,   4026.7,   -37501.5,  31665.6,  49082.3,  7.306,    -49.823
2019-08-06 00:21:00,  31408.0,   4027.2,   -37501.4,  31665.1,  49081.9,  7.307,    -49.823
2019-08-06 00:22:00,  31407.6,   4027.0,   -37501.5,  31664.7,  49081.8,  7.306,    -49.824
2019-08-06 00:23:00,  31408.0,   4026.6,   -37501.4,  31665.0,  49081.8,  7.306,    -49.823
2019-08-06 00:24:00,  31408.3,   4026.8,   -37501.3,  31665.3,  49082.0,  7.306,    -49.823
2019-08-06 00:25:00,  31408.3,   4026.5,   -37501.2,  31665.3,  49081.9,  7.305,    -49.823
2019-08-06 00:26:00,  31408.5,   4026.6,   -37501.3,  31665.5,  49082.1,  7.306,    -49.823
2019-08-06 00:27:00,  31409.2,   4026.6,   -37501.3,  31666.2,  49082.5,  7.305,    -49.822
2019-08-06 00:28:00,  31409.3,   4026.6,   -37501.2,  31666.3,  49082.5,  7.305,    -49.822
2019-08-06 00:29:00,  31408.5,   4026.5,   -37501.2,  31665.6,  49082.0,  7.305,    -49.823
2019-08-06 00:30:00,  31408.7,   4026.2,   -37501.2,  31665.7,  49082.1,  7.305,    -49.823
2019-08-06 00:31:00,  31408.8,   4026.0,   -37501.0,  31665.7,  49082.0,  7.304,    -49.822
2019-08-06 00:32:00,  31409.0,   4025.7,   -37500.8,  31665.9,  49082.0,  7.304,    -49.822
2019-08-06 00:33:00,  31409.2,   4026.1,   -37500.7,  31666.2,  49082.1,  7.305,    -49.822
2019-08-06 00:34:00,  31409.3,   4026.5,   -37500.7,  31666.4,  49082.2,  7.305,    -49.822
2019-08-06 00:35:00,  31409.5,   4026.6,   -37500.7,  31666.6,  49082.3,  7.305,    -49.821
2019-08-06 00:36:00,  31409.8,   4026.3,   -37500.7,  31666.8,  49082.4,  7.305,    -49.821
2019-08-06 00:37:00,  31409.8,   4026.5,   -37500.5,  31666.8,  49082.3,  7.305,    -49.821
2019-08-06 00:38:00,  31409.9,   4026.5,   -37500.5,  31666.9,  49082.4,  7.305,    -49.821
2019-08-06 00:39:00,  31410.5,   4026.3,   -37500.4,  31667.5,  49082.7,  7.304,    -49.820
2019-08-06 00:40:00,  31410.4,   4026.5,   -37500.3,  31667.4,  49082.5,  7.305,    -49.820
2019-08-06 00:41:00,  31410.1,   4026.5,   -37500.2,  31667.1,  49082.3,  7.305,    -49.821
2019-08-06 00:42:00,  31409.8,   4026.8,   -37500.0,  31666.8,  49082.0,  7.306,    -49.821
2019-08-06 00:43:00,  31410.1,   4026.8,   -37500.0,  31667.2,  49082.1,  7.305,    -49.820
2019-08-06 00:44:00,  31409.8,   4026.7,   -37499.9,  31666.8,  49081.8,  7.305,    -49.821
2019-08-06 00:45:00,  31409.7,   4026.8,   -37499.8,  31666.8,  49081.7,  7.306,    -49.821
2019-08-06 00:46:00,  31409.7,   4026.7,   -37499.6,  31666.8,  49081.7,  7.305,    -49.820
2019-08-06 00:47:00,  31409.2,   4027.1,   -37499.5,  31666.3,  49081.2,  7.306,    -49.821
2019-08-06 00:48:00,  31409.4,   4027.5,   -37499.5,  31666.5,  49081.4,  7.307,    -49.821
2019-08-06 00:49:00,  31409.5,   4027.5,   -37499.5,  31666.7,  49081.5,  7.307,    -49.820
2019-08-06 00:50:00,  31409.4,   4027.3,   -37499.4,  31666.5,  49081.3,  7.307,    -49.820
2019-08-06 00:51:00,  31409.3,   4027.6,   -37499.3,  31666.5,  49081.2,  7.307,    -49.820
2019-08-06 00:52:00,  31408.3,   4028.1,   -37499.3,  31665.6,  49080.6,  7.308,    -49.821
2019-08-06 00:53:00,  31406.7,   4027.5,   -37499.1,  31663.8,  49079.4,  7.308,    -49.823
2019-08-06 00:54:00,  31406.4,   4026.4,   -37499.0,  31663.4,  49079.0,  7.306,    -49.823
2019-08-06 00:55:00,  31407.1,   4027.0,   -37498.8,  31664.2,  49079.4,  7.307,    -49.822
2019-08-06 00:56:00,  31406.2,   4028.1,   -37498.8,  31663.5,  49078.9,  7.309,    -49.823
2019-08-06 00:57:00,  31405.5,   4028.1,   -37498.9,  31662.8,  49078.5,  7.309,    -49.823
2019-08-06 00:58:00,  31405.3,   4027.7,   -37498.9,  31662.5,  49078.3,  7.308,    -49.824
2019-08-06 00:59:00,  31405.4,   4027.7,   -37498.7,  31662.7,  49078.3,  7.308,    -49.823
2019-08-06 01:00:00,  31405.1,   4027.8,   -37498.8,  31662.4,  49078.2,  7.308,    -49.824
2019-08-06 01:01:00,  31405.2,   4027.7,   -37498.8,  31662.5,  49078.3,  7.308,    -49.824
2019-08-06 01:02:00,  31404.5,   4027.4,   -37498.8,  31661.7,  49077.7,  7.308,    -49.824
2019-08-06 01:03:00,  31404.6,   4027.2,   -37498.8,  31661.7,  49077.7,  7.308,    -49.824
2019-08-06 01:04:00,  31404.7,   4027.8,   -37498.8,  31661.9,  49077.9,  7.309,    -49.824
2019-08-06 01:05:00,  31404.2,   4027.8,   -37498.8,  31661.4,  49077.6,  7.309,    -49.825
2019-08-06 01:06:00,  31403.8,   4027.9,   -37498.8,  31661.1,  49077.3,  7.309,    -49.825
2019-08-06 01:07:00,  31404.0,   4027.8,   -37499.0,  31661.2,  49077.6,  7.309,    -49.825
2019-08-06 01:08:00,  31403.6,   4027.9,   -37499.0,  31660.9,  49077.3,  7.309,    -49.825
2019-08-06 01:09:00,  31403.7,   4028.3,   -37499.1,  31661.0,  49077.5,  7.310,    -49.825
2019-08-06 01:10:00,  31404.0,   4028.5,   -37499.2,  31661.3,  49077.8,  7.310,    -49.825
2019-08-06 01:11:00,  31404.0,   4028.8,   -37499.4,  31661.3,  49077.9,  7.310,    -49.825
2019-08-06 01:12:00,  31404.0,   4028.8,   -37499.4,  31661.4,  49078.0,  7.311,    -49.825
2019-08-06 01:13:00,  31403.7,   4028.9,   -37499.4,  31661.1,  49077.8,  7.311,    -49.825
2019-08-06 01:14:00,  31403.6,   4028.9,   -37499.5,  31661.0,  49077.8,  7.311,    -49.825
2019-08-06 01:15:00,  31403.7,   4029.0,   -37499.5,  31661.1,  49077.9,  7.311,    -49.825
2019-08-06 01:16:00,  31403.8,   4029.1,   -37499.6,  31661.2,  49078.0,  7.311,    -49.825
2019-08-06 01:17:00,  31403.5,   4029.1,   -37499.5,  31660.9,  49077.8,  7.311,    -49.826
2019-08-06 01:18:00,  31403.8,   4029.3,   -37499.5,  31661.3,  49078.0,  7.311,    -49.825
2019-08-06 01:19:00,  31404.4,   4029.3,   -37499.6,  31661.8,  49078.4,  7.311,    -49.825
2019-08-06 01:20:00,  31404.7,   4029.6,   -37499.8,  31662.1,  49078.8,  7.312,    -49.825
2019-08-06 01:21:00,  31405.0,   4029.8,   -37499.8,  31662.5,  49079.0,  7.312,    -49.824
2019-08-06 01:22:00,  31405.1,   4029.9,   -37499.8,  31662.6,  49079.1,  7.312,    -49.824
2019-08-06 01:23:00,  31405.2,   4030.0,   -37499.9,  31662.7,  49079.2,  7.312,    -49.824
2019-08-06 01:24:00,  31404.8,   4030.0,   -37499.9,  31662.3,  49078.9,  7.312,    -49.825
2019-08-06 01:25:00,  31404.3,   4030.2,   -37499.9,  31661.8,  49078.7,  7.313,    -49.825
2019-08-06 01:26:00,  31404.5,   4030.4,   -37499.9,  31662.1,  49078.9,  7.313,    -49.825
2019-08-06 01:27:00,  31404.5,   4030.6,   -37500.0,  31662.1,  49078.9,  7.314,    -49.825
2019-08-06 01:28:00,  31404.6,   4030.8,   -37500.1,  31662.2,  49079.0,  7.314,    -49.825
2019-08-06 01:29:00,  31404.8,   4031.0,   -37500.1,  31662.4,  49079.2,  7.314,    -49.825
2019-08-06 01:30:00,  31404.8,   4031.0,   -37500.1,  31662.4,  49079.2,  7.314,    -49.825
2019-08-06 01:31:00,  31405.0,   4030.9,   -37500.1,  31662.6,  49079.3,  7.314,    -49.824
2019-08-06 01:32:00,  31405.8,   4030.5,   -37500.0,  31663.4,  49079.8,  7.313,    -49.824
2019-08-06 01:33:00,  31404.9,   4030.2,   -37500.0,  31662.5,  49079.1,  7.313,    -49.824
2019-08-06 01:34:00,  31405.6,   4030.1,   -37500.0,  31663.1,  49079.5,  7.312,    -49.824
2019-08-06 01:35:00,  31406.1,   4030.1,   -37499.9,  31663.6,  49079.8,  7.312,    -49.823
